business_id,name,address,review_count,rating,zipcode,cuisine
B55Ocx5RBWxo6AGSucYSIA,ilili Restaurant,236 5th Ave,2746,4.0,10001,Mediterranean
FeSynfcDT4qB2kDixHUQCA,Danji,346 W 52nd St,1091,4.0,10019,Korean
FZpm4_fbd6P984foOUejWg,Jongro BBQ,22 W 32nd St,2538,4.0,10001,Korean
oLA02lMIfgvbYquvXzkARw,Lillie's Victorian Establishment,249 W 49th St,1641,4.0,10019,Other
zR92VSkXj1rt5KTJ15bkAw,Benjamin Steakhouse Prime,23 E 40th St,495,4.5,10016,Other
IjQ2yGUKkvP0JIldT9vRFQ,Take31,15 E 31st St,900,4.5,10016,Korean
Cg5kGSXIelsKX9eqlHr31A,Kyuramen - Union Square,210 E 14th St,633,4.5,10003,Other
DRitJoNGTkHXZvH_YpLIAw,Marc Forgione,134 Reade St,1016,4.5,10013,Other
7ZecxKox2SiVtsNDWphJZQ,Limani,45 Rockerfeller Plz,534,4.0,10111,Mediterranean
z0lX40tXQxOHlU26VhLATA,American Brass,2-01 50th Ave,362,4.5,11109,Other
4Jp0wdJXLpmgCwWv6o6YEQ,Torishin,362 W 53rd St,373,4.0,10019,Japanese
X8yEmEDD9ZTkHoIRFqzcRw,Osamil,5 West 31st St,713,4.5,10001,Korean
wx5XkAsviabyZdQma64Fyw,Gaonnuri,1250 Broadway,997,4.0,10001,Korean
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,668,4.5,10003,Other
NAlOPUbFQVE0bUu8_wmBLQ,Rezdôra,27 E 20th St,668,4.0,10003,Italian
RqCMsa0IuHWhML0BEjW8_w,Boulud Sud,20 W 64th St,793,4.0,10023,Mediterranean
XzUW9MvEGOFs9_aNj11j2Q,Dinosaur Bar-B-Que,700 W 125th St,3494,4.0,10027,Other
DdoubmNfPNRi9xNmcQ64ug,Tsurutontan Udon Noodle Brasserie - Midtown,64 W 48th St,724,3.5,10036,Japanese
Ms1p17KsYteDlkvHnllC2g,Soba Totto,211 E 43rd St,936,4.0,10017,Japanese
k2sHdf6WeY22pK3hs6mtqA,Legasea Bar & Grill,485 7th Ave,368,4.0,10018,Other
MGRo61aHFUeRlWhSbTv2NA,Sushi By M,300 E 5th St,1117,4.5,10003,Other
dS9rQ7SvIGngPE4y2xkSKw,Royal 35 Steakhouse,1 E 35th St,307,4.5,10016,Other
R7EGjHWw0tNheY6-ahH8fQ,Tuome,536 E 5th St,674,4.5,10009,Other
Vc7JEi0Hj6XYfSMFEUMKGg,Caviar Russe,538 Madison Ave,187,4.5,10022,Other
7EaiwMVaNdQibSs0yYkE5Q,Sushi Yasuda,204 E 43rd St,2279,4.0,10017,Japanese
hKdvsbuQRtjajWYwjaoOQw,Tavern on the Green,67 Central Park W,1959,3.5,10023,Other
NlmP5x_Ykznd55Dc85ChUg,Nittis,523 9th Ave,355,4.5,10018,Italian
s-b1Mn_Gzkftz2MCjZ3lwg,Turntable LP Bar & Karaoke,34-36 W 32nd St,393,4.5,10001,Korean
Me4TxTbPPQZQopW1wOGx5g,Jack's Wife Freda,226 Lafayette St,2433,4.0,10012,Mediterranean
vscYK65F_MUH8WqACKSdog,The Musket Room,265 Elizabeth St,585,4.0,10012,Other
Nbqzy3ea5_x2zXWkdWlUIQ,Sake Bar Hagi,245 W 51st St,444,4.0,10019,Other
jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,75 9th Ave,3820,4.5,10011,Other
zOmgO8Di9Ui2bQHqSarUKg,John's of Times Square,260 W 44th St,2496,4.0,10036,Italian
SmLFW1Ncg26KfVRVX3GVFQ,Little Mad,110 Madison Ave,191,4.5,10016,Korean
ieXKc6S3WlEiVkyxgaF9Ig,Tempura Matsui,222 E 39th St,191,4.5,10016,Japanese
__EvomQ2tE1NtkWn32WEXg,Au Cheval,33 Cortlandt Aly,880,4.5,10013,Other
GjEE8vvjqb7eeHA3BGNxAw,Barolo East,214 E 49th St,268,4.5,10017,Italian
W5RSIwNKBa7k0jeAs5KDYg,Mei Jin Ramen,1574 2nd Ave,899,4.0,10028,Other
XEugUtbw4rRmGr9S1XA-aQ,Alta,64 W 10th St,2017,4.0,10011,Mediterranean
WqjqHMozyW42XLTtLnKGag,La Pulperia Hell's Kitchen,623 9th Ave,891,4.0,10036,Other
